expression,label
هل توجد خدمة تركيب؟,Neutral
كيف أستخدم الخدمة؟,Neutral
ما هو تاريخ الإصدار؟,Neutral
هل يمكنني طلب عينة؟,Neutral
ما هي سرعة المعالجة؟,Neutral
كيف أعدل موعد التسليم؟,Neutral
إشراق في الخدمة,Positive
دعم متفانٍ,Positive
إتقان في التنفيذ,Positive
لغة التعامل راقية,Positive
حلول إبداعية,Positive
سرور بالتعامل,Positive
كفاءة ملهمة,Positive
تجربة مبهرة,Positive
إيجابية مطلقة,Positive
احترام غير مسبوق,Positive
تفوق في الأداء,Positive
إنجاز سريع,Positive
عناية فائقة,Positive
بشاشة في التعامل,Positive
تجاوب مذهل,Positive
ثناء على الخدمة,Positive
عطاء غير محدود,Positive
رقي في المعاملة,Positive
إخلاص في العمل,Positive
دقة محترفة,Positive
سهولة مطلقة,Positive
تفاعل إيجابي,Positive
كمال في الخدمة,Positive
لطف غير عادي,Positive
مهارة فذة,Positive
نظام متكامل,Positive
همة عالية,Positive
ودية في التعامل,Positive
يقظة دائمة,Positive
ابتسامة دائمة,Positive
تألق في الأداء,Positive
ثقة عمياء,Positive
جودة عالية,Positive
حرفية ممتازة,Positive
خبرة واضحة,Positive
سرعة خيالية,Positive
طمأنينة كاملة,Positive
فهم سريع,Positive
قدرة استثنائية,Positive
مبادرة رائعة,Positive
نقاء في التعامل,Positive
هدوء محبب,Positive
احتياجاتي مجابة,Positive
استجابة مثالية,Positive
تسهيلات رائعة,Positive
جوائز تقديرية,Positive
حلول سحرية,Positive
دعم لا يتوقف,Positive
راحة دائمة,Positive
سلاسة مطلقة,Positive
طاقم مميز,Positive
عروض مذهلة,Positive
فريق خارق,Positive
كلمات شكر,Positive
لمسة إنسانية,Positive
مفاجأة سارة,Positive
هدية تقدير,Positive
أخلاق عالية,Positive
براعة في الشرح,Positive
تكريم العميل,Positive
حلول جذرية,Positive
دعم نفسي,Positive
روح التعاون,Positive
سهولة مدهشة,Positive
طمأنة العميل,Positive
فعالية قصوى,Positive
كفاءة عالية,Positive
متابعة حثيثة,Positive
نصائح ذهبية,Positive
همس لطيف,Positive
ابتكار رائع,Positive
تحسن مستمر,Positive
تقدم ملحوظ,Positive
جو من الراحة,Positive
حلول مبتكرة,Positive
دقة فائقة,Positive
رعاية كاملة,Positive
سمعة طيبة,Positive
عطاء بلا حدود,Positive
فخر بالخدمة,Positive
كلمات طيبة,Positive
مكافأة مجزية,Positive
نظام ممتاز,Positive
وضوح تام,Positive
إبداع في العمل,Positive
تميز مستحق,Positive
حلول فورية,Positive
دعم متواصل,Positive
ردود شافية,Positive
سعادة غامرة,Positive
طاقم متفاني,Positive
عنوان الثقة,Positive
فريق متماسك,Positive
كفاءة نادرة,Positive
مبادرة طيبة,Positive
نجاح باهر,Positive
خدمة مقرفة,Negative
تعامل بارد,Negative
تجاهل صارخ,Negative
خراب في الخدمة,Negative
دعم وهمي,Negative
ردود هروبية,Negative
سوء تنظيم,Negative
فوضى عارمة,Negative
كذب في الوعود,Negative
لامبالاة صادمة,Negative
مماطلة مقصودة,Negative
نصب واحتيال,Negative
وهم الخدمة,Negative
إحباط كبير,Negative
تلفيق الأعذار,Negative
تلاعب بالعملاء,Negative
خيبة أمل,Negative
دعم معدوم,Negative
ردود مزيفة,Negative
سوء تخطيط,Negative
فشل متكرر,Negative
كوارث متتالية,Negative
لا مبالاة,Negative
مهزلة الخدمة,Negative
نفاق في التعامل,Negative
وعود كاذبة,Negative
إهمال فاضح,Negative
تماطل مقيت,Negative
تجاهل متكرر,Negative
خطأ فادح,Negative
دعم هزيل,Negative
ردود متحجرة,Negative
سوء تقدير,Negative
فشل ذريع,Negative
كلام فارغ,Negative
لامبالاة تامة,Negative
مماطلة غير مقبولة,Negative
نظام فاشل,Negative
وعود غير واقعية,Negative
أداء مزرٍ,Negative
تعثر مستمر,Negative
تخبط في الإجراءات,Negative
خداع العملاء,Negative
دعم غير موجود,Negative
ردود متعالية,Negative
سوء حظ,Negative
فوضى إدارية,Negative
كسل في الأداء,Negative
لا جدوى,Negative
ممارسات خاطئة,Negative
نقص في الاحترام,Negative
واقع مرير,Negative
إساءة لفظية,Negative
تهرب من المسؤولية,Negative
تضليل متعمد,Negative
خطورة الخدمة,Negative
دعم مشبوه,Negative
ردود مسيئة,Negative
سوء نية,Negative
فقدان الثقة,Negative
كلل من الانتظار,Negative
لا فائدة,Negative
معاناة حقيقية,Negative
نظام معقد,Negative
وصول متأخر,Negative
أجواء متوترة,Negative
تعاسة بالتعامل,Negative
تجاهل مطلق,Negative
خدمة زائفة,Negative
دعم هش,Negative
ردود غير مسؤولة,Negative
سوء حظ متكرر,Negative
فقدان الأمل,Negative
كم من الانتظار,Negative
لا حلول,Negative
مماطلة غير مبررة,Negative
نظام متهاوي,Negative
وعد كاذب,Negative
إهدار للوقت,Negative
تجاهل صريح,Negative
تأخير مقيت,Negative
خدمة مخجلة,Negative
دعم غير كفء,Negative
ردود غير مبالية,Negative
سوء إدارة,Negative
فوضى في التنفيذ,Negative
كوارث خدمية,Negative
لا مبرر,Negative
مشاهد محبطة,Negative
نقص في الكفاءة,Negative
هل يوجد خصم للطلاب؟,Neutral
ما هي شروط الإرجاع؟,Neutral
كيف أغير وسيلة الدفع؟,Neutral
ما مدة الضمان؟,Neutral
هل يمكن التوصيل السريع؟,Neutral
ما هي تكلفة التركيب؟,Neutral
كيف أطلب فاتورة ضريبية؟,Neutral
ما سياسة التبديل؟,Neutral
هل توجد أحجام أخرى؟,Neutral
كيف أستخدم الخصم؟,Neutral
ما هي مواد التصنيع؟,Neutral
هل يوجد دعم فني؟,Neutral
كيف أعدل الطلب؟,Neutral
ما هي أوقات الدعم؟,Neutral
هل يمكن الحجز المسبق؟,Neutral
ما إجراءات الاستبدال؟,Neutral
كيف أتحقق من الصلاحية؟,Neutral
ما هي شروط الضمان؟,Neutral
هل يوجد توصيل مجاني؟,Neutral
كيف أضيف مستفيدًا؟,Neutral
ما هي حدود الشراء؟,Neutral
هل يمكن الدفع نقدًا؟,Neutral
كيف أغير لغة التطبيق؟,Neutral
ما هي خيارات الأقساط؟,Neutral
هل توجد عروض خاصة؟,Neutral
كيف أبلغ عن عيب؟,Neutral
ما هي فترة الإرجاع؟,Neutral
هل يدعم نظام التشغيل؟,Neutral
كيف أستعيد الحساب؟,Neutral
ما هي متطلبات الصيانة؟,Neutral
هل يمكن التوصيل اليوم؟,Neutral
كيف أطلب نسخة احتياطية؟,Neutral
ما هي شروط التخفيض؟,Neutral
هل يوجد دليل المستخدم؟,Neutral
كيف أغير موعد التسليم؟,Neutral
ما هي مكونات المنتج؟,Neutral
هل يمكن التوصيل ليلاً؟,Neutral
كيف أتحقق من الجودة؟,Neutral
ما هي إجراءات السلامة؟,Neutral
هل توجد خدمة التوصيل؟,Neutral
كيف أعدل البيانات؟,Neutral
ما هي الأصناف المتاحة؟,Neutral
هل يمكن الحجز عبر الهاتف؟,Neutral
كيف أستخدم القسيمة؟,Neutral
ما هي قنوات الدعم؟,Neutral
هل يوجد صيانة منزلية؟,Neutral
كيف أطلب خدمة ميدانية؟,Neutral
ما هي أوقات التسليم؟,Neutral
هل يمكن التوصيل السريع؟,Neutral
كيف أتحقق من العروض؟,Neutral
ما هي شروط الاستبدال؟,Neutral
هل توجد ألوان إضافية؟,Neutral
كيف أغير طريقة الشحن؟,Neutral
ما هي تكلفة التركيب؟,Neutral
هل يمكن الدفع إلكترونيًا؟,Neutral
كيف أطلب شهادة ضمان؟,Neutral
ما هي سياسة الإلغاء؟,Neutral
هل يوجد دعم للجوال؟,Neutral
كيف أعدل كمية المنتج؟,Neutral
ما هي فترات الصيانة؟,Neutral
هل يمكن التوصيل في العطل؟,Neutral
كيف أتحقق من المكونات؟,Neutral
ما هي إجراءات التشغيل؟,Neutral
هل توجد خدمة التركيب؟,Neutral
كيف أغير الباقة؟,Neutral
ما هي شروط التجديد؟,Neutral
هل يمكن التوصيل الفوري؟,Neutral
كيف أستخدم الخصم؟,Neutral
ما هي قيود الاستخدام؟,Neutral
هل يوجد دعم مباشر؟,Neutral
كيف أطلب تصريحًا؟,Neutral
ما هي أوقات الاستلام؟,Neutral
هل يمكن الحجز أونلاين؟,Neutral
كيف أغير العنوان؟,Neutral
ما هي شروط الإعادة؟,Neutral
هل توجد مقاسات إضافية؟,Neutral
كيف أتحقق من السعر؟,Neutral
ما هي إجراءات الضمان؟,Neutral
هل يوجد توصيل دولي؟,Neutral
كيف أطلب دعمًا فنيًا؟,Neutral
ما هي مدة التثبيت؟,Neutral
هل يمكن التوصيل غدًا؟,Neutral
كيف أستخدم العروض؟,Neutral
ما هي سياسة التحديث؟,Neutral
هل يوجد دليل التشغيل؟,Neutral
كيف أعدل الاشتراك؟,Neutral
ما هي تكاليف الشحن؟,Neutral
هل يمكن الدفع لاحقًا؟,Neutral
كيف أطلب فاتورة؟,Neutral
ما هي شروط الخصم؟,Neutral
هل توجد ألوان أخرى؟,Neutral
كيف أغير رقم الجوال؟,Neutral
ما هي فترة الصلاحية؟,Neutral
هل يمكن التوصيل الآن؟,Neutral
